customerName,checkNumber
"Québec Home Shopping Network",II180006
"Québec Home Shopping Network",JG981190
"Collectable Mini Designs Co.",NQ865547
giftsbymail.co.uk,IF245157
giftsbymail.co.uk,JO719695
"Alpha Cognac",AF40894
"Alpha Cognac",HR224331
"Alpha Cognac",KI744716
"Amica Models & Co.",IJ399820
"Amica Models & Co.",NE404084
"Lyon Souveniers",EQ12267
"Lyon Souveniers",HD284647
"Lyon Souveniers",HN114306
"Auto Associés & Cie.",EP227123
"Auto Associés & Cie.",HE84936
"Toms Spezialitäten, Ltd",EU280955
"Toms Spezialitäten, Ltd",GB361972
"Royal Canadian Collectables, Ltd.",IO164641
"Royal Canadian Collectables, Ltd.",NH776924
"Anna's Decorations, Ltd",EM979878
"Anna's Decorations, Ltd",KM841847
"Anna's Decorations, Ltd",LE432182
"Anna's Decorations, Ltd",OJ819725
"Rovelli Gifts",BJ483870
"Rovelli Gifts",NI983021
"Souveniers And Things Co.",IA793562
"Souveniers And Things Co.",JT819493
"Souveniers And Things Co.",OD327378
"Marta's Replicas Co.",DR578578
"Marta's Replicas Co.",KH910279
"Vida Sport, Ltd",AJ574927
"Vida Sport, Ltd",LF501133
"Norway Gifts By Mail, Co.",AD304085
"Norway Gifts By Mail, Co.",NR157385
"Oulu Toy Supplies, Inc.",DG336041
"Oulu Toy Supplies, Inc.",FA728475
"Oulu Toy Supplies, Inc.",NQ966143
"Petit Auto",LQ244073
"Petit Auto",MD809704
"Mini Classics",HL685576
"Mini Classics",OM548174
"Mini Creations Ltd.",GJ597719
"Mini Creations Ltd.",HO576374
"Mini Creations Ltd.",MU817160
"Corporate Gift Ideas Co.",DJ15149
"Corporate Gift Ideas Co.",LA556321
"Down Under Souveniers, Inc",AL493079
"Down Under Souveniers, Inc",ES347491
"Down Under Souveniers, Inc",HG738664
"Down Under Souveniers, Inc",PQ803830
"Stylish Desk Decors, Co.",DQ409197
"Stylish Desk Decors, Co.",FP443161
"Stylish Desk Decors, Co.",HB150714
"Tekni Collectables Inc.",EN930356
"Tekni Collectables Inc.",NR631421
"Australian Gift Network, Co",HL209210
"Australian Gift Network, Co",JK479662
"Australian Gift Network, Co",NF959653
"Suominen Souveniers",CS435306
"Suominen Souveniers",HH517378
"Suominen Souveniers",LF737277
"Classic Gift Ideas, Inc",AP286625
"Classic Gift Ideas, Inc",DA98827
"CAF Imports",AF246722
"CAF Imports",NJ906924
"Men 'R' US Retailers, Ltd.",DG700707
"Men 'R' US Retailers, Ltd.",LG808674
"Marseille Mini Autos",BQ602907
"Marseille Mini Autos",OB648482
"Reims Collectables",CO351193
"Reims Collectables",ED878227
"Reims Collectables",HJ618252
GiftsForHim.com,AG240323
GiftsForHim.com,NB291497
Gifts4AllAges.com,FP170292
Gifts4AllAges.com,OG208861
"Online Diecast Creations Co.",HL575273
"Online Diecast Creations Co.",PN238558
"Collectables For Less Inc.",CA762595
"Collectables For Less Inc.",FR499138
"Collectables For Less Inc.",GB890854
"Royale Belge",BC726082
"Royale Belge",GB117430
"Royale Belge",MS154481
"Salzburg Collectables",CT821147
"Salzburg Collectables",PH29054
"Cruz & Sons Co.",BN347084
"Cruz & Sons Co.",CP804873
"L'ordine Souveniers",DO106109
"L'ordine Souveniers",HG438769
"Tokyo Collectables, Ltd",AJ478695
"Tokyo Collectables, Ltd",DO787644
"Tokyo Collectables, Ltd",JPMR4544
"Tokyo Collectables, Ltd",KB54275
"Auto Canal+ Petit",BJMPR4545
"Auto Canal+ Petit",HJ217687
"Auto Canal+ Petit",NA197101
"Extreme Desk Decorations, Ltd",GH197075
"Extreme Desk Decorations, Ltd",PJ434867
"Bavarian Collectables Imports, Co.",ER54537
"Classic Legends Inc.",KF480160
"Classic Legends Inc.",OA595449
"Gift Ideas Corp.",AO757239
"Gift Ideas Corp.",ER615123
"Gift Ideas Corp.",OU516561
"Scandinavian Gift Ideas",FS299615
"Scandinavian Gift Ideas",KR822727
"The Sharp Gifts Warehouse",EF485824
"Mini Auto Werke",ED473873
"Mini Auto Werke",FN640986
"Mini Auto Werke",HG635467
"Super Scale Inc.",HA777606
"Super Scale Inc.",IR662429
"Microscale Inc.",GJ715659
"Microscale Inc.",MO743231
"Corrida Auto Replicas, Ltd",DD995006
"Corrida Auto Replicas, Ltd",NA377824
"Corrida Auto Replicas, Ltd",OO606861
FunGiftIdeas.com,ED203908
FunGiftIdeas.com,GC60330
FunGiftIdeas.com,PE176846
"Australian Collectables, Ltd",AB661578
"Australian Collectables, Ltd",CO645196
"Frau da Collezione",LL427009
"Frau da Collezione",PC688499
"West Coast Collectables Co.",JP113227
"West Coast Collectables Co.",PB951268
"Iberia Gift Imports, Corp.",GK294076
"Iberia Gift Imports, Corp.",JH546765
"Motor Mint Distributors Inc.",BL66528
"Motor Mint Distributors Inc.",HS86661
"Signal Collectibles Ltd.",AH612904
"Signal Collectibles Ltd.",PT550181
"Double Decker Gift Stores, Ltd",OC773849
"Double Decker Gift Stores, Ltd",PO860906
"Diecast Collectables",BH167026
"Diecast Collectables",FN155234
"Kelly's Gift Shop",EU531600
"Kelly's Gift Shop",MB342426
"Kelly's Gift Shop",MN89921
